rank,pivot_token,token_id,leverage_score,token_asr,training_time_min,n_images
1,nothing,41212,0.7156,0.0,10.13,20
2,none,6697,0.7022,0.0,12.23,20
3,the,1782,0.6936,0.95,10.2,20
4,no,2152,0.6898,0.0,10.1,20
5,fire,10796,0.6881,0.0,10.18,20
6,dog,18457,0.6866,0.0,10.18,20
7,this,574,0.6845,0.05,10.2,20
8,possibly,53128,0.6785,0.0,10.18,20
9,car,6918,0.6765,0.0,10.18,20
10,empty,3194,0.6708,0.0,10.2,20
11,a,64,0.6696,0.1,10.18,20
12,warning,18928,0.6664,0.0,10.11,20
13,maybe,36760,0.6642,0.0,10.17,20
